Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"18/12/20, 14:06",anonfirstname64 anonlastname64,-,Course: test_anon,Quiz,Course module instance list viewed,The user with id '176' viewed the instance list for the module 'quiz' in the course with id '11'.,
"18/12/20, 14:06",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"18/12/20, 14:05",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 14:05",anonfirstname64 anonlastname64,-,Course: test_anon,Assignment,Course module instance list viewed,The user with id '176' viewed the instance list for the module 'assign' in the course with id '11'.,
"18/12/20, 12:34",anonfirstname69 anonlastname69,anonfirstname69 anonlastname69,Course: test_anon,Overview report,Grade overview report viewed,The user with id '181' viewed the overview report in the gradebook.,
"18/12/20, 12:34",anonfirstname69 anonlastname69,-,Course: test_anon,System,Course viewed,The user with id '181' viewed the course with id '11'.,
"18/12/20, 12:25",anonfirstname59 anonlastname59,-,Feedback: Feedback for the Course,Feedback,Course module viewed,The user with id '171' viewed the 'feedback' activity with course module id '605'.,
"18/12/20, 11:10",anonfirstname59 anonlastname59,anonfirstname59 anonlastname59,Course: test_anon,User report,Grade user report viewed,The user with id '171' viewed the user report in the gradebook.,
"18/12/20, 11:10",anonfirstname59 anonlastname59,-,Course: test_anon,Assignment,Course module instance list viewed,The user with id '171' viewed the instance list for the module 'assign' in the course with id '11'.,
"18/12/20, 11:10",anonfirstname59 anonlastname59,-,Course: test_anon,System,Course viewed,The user with id '171' viewed the course with id '11'.,
"18/12/20, 10:45",anonfirstname67 anonlastname67,anonfirstname67 anonlastname67,Course: test_anon,User report,Grade user report viewed,The user with id '179' viewed the user report in the gradebook.,
"18/12/20, 10:44",anonfirstname67 anonlastname67,-,Course: test_anon,System,Course viewed,The user with id '179' viewed the course with id '11'.,
"18/12/20, 10:42",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Course: test_anon,System,Course user report viewed,The user with id '180' viewed the user report for the course with id '11' for user with id '180'.,
"18/12/20, 10:16",anonfirstname60 anonlastname60,anonfirstname60 anonlastname60,Course: test_anon,System,Course user report viewed,The user with id '172' viewed the user report for the course with id '11' for user with id '172'.,
"18/12/20, 09:59",anonfirstname63 anonlastname63,-,Course: test_anon,System,Course viewed,The user with id '175' viewed the course with id '11'.,
"18/12/20, 09:59",anonfirstname63 anonlastname63,anonfirstname63 anonlastname63,Feedback: Feedback for the Course,Feedback,Response submitted,The user with id '175' submitted response for 'feedback' activity with course module id '605'.,
