id,userid,forumid,discussionid,postid,firstread,lastread
6185,168,45,35,275,1603442566,1604305138
6186,168,45,35,274,1603442566,1604305138
6187,168,45,35,269,1603287752,1604305138
6188,168,45,35,265,1603014999,1604305138
6189,168,45,35,264,1603014999,1604305138
6190,168,45,35,263,1603014999,1604305138
6191,168,45,35,262,1603014999,1604305138
6192,168,45,35,261,1603014999,1604305138
6193,168,45,35,268,1603287752,1604305138
6194,168,45,35,273,1603442566,1604305138
6195,168,45,35,272,1603292604,1604305138
6196,168,45,35,271,1603292499,1604305138
6197,168,45,35,270,1603291295,1604305138
6198,168,45,35,267,1603120344,1604305138
6199,168,45,35,266,1603023052,1604305138
6200,168,45,35,260,1603014999,1604305138
6201,168,45,34,258,1603014993,1603014993
6202,168,45,36,283,1600184308,1600783765
6203,168,45,36,282,1600184308,1600783765
6204,168,45,36,281,1600184308,1600783765
6205,168,45,36,280,1600184308,1600783765
6206,168,45,36,279,1600184308,1600783765
6207,168,45,36,303,1600783765,1600783765
6208,168,45,36,302,1600783765,1600783765
6209,168,45,36,301,1600783765,1600783765
6210,168,45,36,300,1600783765,1600783765
6211,168,45,36,299,1600783765,1600783765
6212,168,45,36,298,1600783765,1600783765
6213,168,45,36,297,1600783765,1600783765
6214,168,45,36,296,1600783765,1600783765
6215,168,45,36,295,1600783765,1600783765
6216,168,45,36,294,1600248976,1600783765
6217,168,45,36,293,1600248976,1600783765
6218,168,45,36,292,1600248976,1600783765
6219,168,45,36,291,1600248976,1600783765
6220,168,45,36,290,1600248976,1600783765
6221,168,45,36,289,1600248976,1600783765
6222,168,45,36,288,1600248976,1600783765
6223,168,45,36,287,1600248976,1600783765
6224,168,45,36,285,1600190705,1600783765
6225,168,45,36,284,1600190705,1600783765
6226,168,45,36,286,1600190075,1600783765
6227,168,45,36,278,1600184308,1600783765
6228,169,45,33,257,1608133718,1608133718
6229,169,45,33,256,1608133718,1608133718
6230,169,45,35,277,1604845567,1606066260
6231,169,45,35,276,1604845567,1606066260
6232,169,45,35,275,1604845567,1606066260
6233,169,45,35,274,1604845567,1606066260
6234,169,45,35,263,1602356775,1606066260
6235,169,45,35,262,1602356775,1606066260
6236,169,45,35,261,1602356775,1606066260
6237,169,45,35,273,1604845567,1606066260
6238,169,45,35,272,1604845567,1606066260
6239,169,45,35,271,1604845567,1606066260
6240,169,45,35,270,1604845567,1606066260
6241,169,45,35,269,1604845567,1606066260
6242,169,45,35,268,1604845567,1606066260
6243,169,45,35,267,1604845567,1606066260
6244,169,45,35,266,1603025668,1606066260
6245,169,45,35,265,1603025668,1606066260
6246,169,45,35,264,1603025668,1606066260
6247,169,45,35,260,1602356775,1606066260
6248,169,45,34,258,1602356767,1602356767
6249,169,45,35,259,1601210911,1606066260
6250,169,45,36,303,1600928043,1607180673
6251,169,45,36,302,1600928043,1607180673
6252,169,45,36,301,1600928043,1607180673
6253,169,45,36,300,1600928043,1607180673
6254,169,45,36,299,1600928043,1607180673
6255,169,45,36,298,1600928043,1607180673
6256,169,45,36,297,1600928043,1607180673
6257,169,45,36,296,1600928043,1607180673
6258,169,45,36,295,1600928043,1607180673
6259,169,45,36,294,1600928043,1607180673
6260,169,45,36,293,1600928043,1607180673
6261,169,45,36,292,1600241796,1607180673
6262,169,45,36,291,1600241796,1607180673
6263,169,45,36,290,1600241796,1607180673
6264,169,45,36,289,1600203470,1607180673
6265,169,45,36,288,1600203470,1607180673
6266,169,45,36,287,1600192256,1607180673
6267,169,45,36,286,1600192256,1607180673
6268,169,45,36,285,1600189380,1607180673
6269,169,45,36,283,1600186539,1607180673
6270,169,45,36,284,1600185232,1607180673
6271,169,45,36,282,1600183601,1607180673
6272,169,45,36,281,1600183601,1607180673
6273,169,45,36,280,1600183601,1607180673
6274,169,45,36,279,1600176913,1607180673
6275,169,45,36,278,1600173064,1607180673
6276,170,45,33,257,1608108358,1608108358
6277,170,45,33,256,1608108358,1608108358
6278,170,45,35,277,1605268285,1605268285
6279,170,45,35,276,1605268285,1605268285
6280,170,45,35,267,1603104096,1605268285
6281,170,45,35,266,1603104096,1605268285
6282,170,45,35,265,1603104096,1605268285
6283,170,45,35,264,1603104096,1605268285
6284,170,45,34,258,1602571884,1602571884
6285,170,45,35,263,1602571872,1605268285
6286,170,45,35,262,1602571872,1605268285
6287,170,45,35,261,1602571872,1605268285
6288,170,45,35,260,1602571872,1605268285
6289,170,45,36,280,1600179857,1601279227
6290,170,45,36,303,1601279227,1601279227
6291,170,45,36,302,1601279227,1601279227
6292,170,45,36,301,1601279227,1601279227
6293,170,45,36,300,1601279227,1601279227
6294,170,45,36,299,1601279227,1601279227
6295,170,45,36,298,1601279227,1601279227
6296,170,45,36,297,1601279227,1601279227
6297,170,45,36,296,1601279227,1601279227
6298,170,45,36,295,1601279227,1601279227
6299,170,45,36,294,1601279227,1601279227
6300,170,45,36,293,1601279227,1601279227
6301,170,45,36,292,1601279227,1601279227
6302,170,45,36,291,1601279227,1601279227
6303,170,45,36,290,1601279227,1601279227
6304,170,45,36,289,1601279227,1601279227
6305,170,45,36,288,1601279227,1601279227
6306,170,45,36,287,1601279227,1601279227
6307,170,45,36,286,1601279227,1601279227
6308,170,45,36,285,1601279227,1601279227
6309,170,45,36,284,1601279227,1601279227
6310,170,45,35,259,1601279223,1605268285
6311,170,45,36,283,1600184271,1601279227
6312,170,45,36,281,1600184271,1601279227
6313,170,45,36,282,1600182590,1601279227
6314,170,45,36,279,1600179857,1601279227
6315,170,45,36,278,1600179857,1601279227
6316,171,45,33,257,1607893315,1607893315
6317,171,45,33,256,1607893315,1607893315
6318,171,45,35,263,1601488407,1607516865
6319,171,45,35,277,1604396937,1607516865
6320,171,45,35,276,1604396937,1607516865
6321,171,45,35,275,1604396937,1607516865
6322,171,45,35,274,1604396937,1607516865
6323,171,45,35,273,1603293767,1607516865
6324,171,45,35,272,1603292801,1607516865
6325,171,45,35,271,1603292801,1607516865
6326,171,45,35,270,1603292801,1607516865
6327,171,45,35,269,1603290833,1607516865
6328,171,45,35,268,1603290833,1607516865
6329,171,45,35,267,1603206073,1607516865
6330,171,45,35,266,1603030129,1607516865
6331,171,45,35,265,1602871412,1607516865
6332,171,45,35,264,1602688435,1607516865
6333,171,45,34,258,1601661034,1607516846
6334,171,45,35,262,1601488407,1607516865
6335,171,45,35,261,1601470054,1607516865
6336,171,45,35,260,1601469373,1607516865
